[1418, AA-LEC, 6.5 Wk 1, MoWe 2:45PM - 5:15PM, FG B050 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1421, AAAE-TUT, 6.5 Wk 1, MoWe 1:15PM - 2:05PM, MB S2.465 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1420, AAAF-TUT, 6.5 Wk 1, MoWe 1:15PM - 2:05PM, MB S2.105 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1419, AAAG-TUT, 6.5 Wk 1, TuTh 11:45AM - 12:35PM, MB S2.105 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[2168, N-LEC, 13 Wk, Fr 8:45AM - 11:30AM, H 557 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2166, N NA-TUT, 13 Wk, Fr 11:45AM - 12:35PM, H 615 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2167, N NB-TUT, 13 Wk, Fr 11:45AM - 12:35PM, H 400-2 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[6731, N NC-TUT, 13 Wk, Fr 11:45AM - 12:35PM, H 529 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2080, II-LEC, 13 Wk, Mo 5:45PM - 8:15PM, H 561 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2081, IIIE-TUT, 13 Wk, We 4:15PM - 5:05PM, MB S1.105 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2078, IIIF-TUT, 13 Wk, Mo 4:15PM - 5:05PM, MB S2.465 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2079, IIIG-TUT, 13 Wk, Tu 4:15PM - 5:05PM, MB S1.105 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[1429, AA-LEC, 6.5 Wk 1, TuTh 8:45AM - 10:25AM, H 937 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[3594, AAAD-TUT, 6.5 Wk 1, TuTh 2:45PM - 4:25PM, MB 2.265 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1430, AAAE-TUT, 6.5 Wk 1, TuTh 11:45AM - 1:25PM, H 400-2 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1431, AAAF-TUT, 6.5 Wk 1, TuTh 2:45PM - 4:25PM, MB S1.105 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1432, AAAG-TUT, 6.5 Wk 1, MoWe 8:45AM - 10:25AM, MB S2.105 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1425, AB-LEC, 6.5 Wk 1, TuTh 10:15AM - 12:45PM, H 535 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1428, ABAI-TUT, 6.5 Wk 1, TuTh 8:45AM - 10:25AM, MB S1.255 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1427, ABAJ-TUT, 6.5 Wk 1, TuTh 2:45PM - 4:25PM, MB S1.255 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[3465, ABAK-TUT, 6.5 Wk 1, TuTh 2:45PM - 4:25PM, MB S2.445 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[3595, ABAL-TUT, 6.5 Wk 1, TuTh 8:45AM - 10:25AM, MB S2.445 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1422, CCCE-TUT, 6.5 Wk 2, TuTh 8:45AM - 10:25AM, H 400 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[1423, CCCF-TUT, 6.5 Wk 2, TuTh 2:45PM - 4:25PM, H 627 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[1424, CCCG-TUT, 6.5 Wk 2, MoWe 11:45AM - 1:25PM, H 633 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[3151, CCCH-TUT, 6.5 Wk 2, TuTh 4:15PM - 5:55PM, H 625 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[3675, CD-LEC, 6.5 Wk 2, MoWe 10:15AM - 12:45PM, H 435 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[3676, CDCI-TUT, 6.5 Wk 2, TuTh 8:45AM - 10:25AM, H 400-2 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[3677, CDCJ-TUT, 6.5 Wk 2, TuTh 2:45PM - 4:25PM, H 623 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[3678, CDCK-TUT, 6.5 Wk 2, TuTh 8:45AM - 10:25AM, H 615 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[3679, CDCL-TUT, 6.5 Wk 2, TuTh 2:45PM - 4:25PM, H 621 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[2177, A-LEC, 13 Wk, MoWe 4:15PM - 5:30PM, MB S2.210 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2169, A AL-TUT, 13 Wk, Mo 8:45AM - 10:25AM, MB S2.105 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2183, A AM-TUT, 13 Wk, Mo 5:45PM - 7:25PM, MB S2.445 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2171, A AN-TUT, 13 Wk, Mo 5:45PM - 7:25PM, MB S2.465 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2172, A AO-TUT, 13 Wk, Mo 5:45PM - 7:25PM, MB S2.105 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2173, B-LEC, 13 Wk, MoWe 2:45PM - 4:00PM, H 531 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2174, B BA-TUT, 13 Wk, We 4:15PM - 5:55PM, H 540 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2175, B BB-TUT, 13 Wk, We 5:45PM - 7:25PM, MB S1.255 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2176, B BC-TUT, 13 Wk, We 4:15PM - 5:55PM, H 537 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2170, B BD-TUT, 13 Wk, We 5:45PM - 7:25PM, MB S2.445 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2178, BB-LEC, 13 Wk, Tu 5:45PM - 8:15PM, H 535 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
